#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
243863	5663	1499	111642	107880	-	OK/SW-cl.35	PSEN1	CTNNB1	AD3|FAD|PS-1|PS1|S182	CTNNB|MRD19|armadillo	Affinity Capture-Western	physical	Tesco G (1998)	PUBMED:9852041	9606	9606	Low Throughput	-	-	Beta-catenin co-immunoprecipitates with the endogenous C-terminal fragment of presenilin 1 (PS1-CTF) but not with the endogenous CTF of presenilin 2 (PS2-CTF) in H4 human neuroglioma cells;PS1-CTF immunoprecipitated with all caspase-cleaved species of bet	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	P35222	B4DGU4|A0A024R2Q3	NP_001091680|NP_001091679|NP_001895|NP_001317658	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245517	5663	1499	111642	107880	-	OK/SW-cl.35	PSEN1	CTNNB1	AD3|FAD|PS-1|PS1|S182	CTNNB|MRD19|armadillo	Affinity Capture-Western	physical	Kang DE (1999)	PUBMED:10341227	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	P35222	B4DGU4|A0A024R2Q3	NP_001091680|NP_001091679|NP_001895|NP_001317658	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251040	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Haffner C (2004)	PUBMED:15257293	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252120	22883	5663	116550	111642	RP11-558F24.5	-	CLSTN1	PSEN1	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Araki Y (2004)	PUBMED:15037614	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O94985	B3KMD3	NP_001009566|NP_001289812|NP_055759	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253390	5663	23385	111642	116961	-	RP11-517F10.1	PSEN1	NCSTN	AD3|FAD|PS-1|PS1|S182	ATAG1874	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253391	5663	55851	111642	120953	-	MDS033	PSEN1	PSENEN	AD3|FAD|PS-1|PS1|S182	MSTP064|PEN-2|PEN2	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q9NZ42	-	NP_758844|NP_001268461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253392	5663	51107	111642	119296	-	RP4-790G17.3	PSEN1	APH1A	AD3|FAD|PS-1|PS1|S182	6530402N02Rik|APH-1|APH-1A|CGI-78	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253395	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253398	55851	5663	120953	111642	MDS033	-	PSENEN	PSEN1	MSTP064|PEN-2|PEN2	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NZ42	-	NP_758844|NP_001268461	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253400	51107	5663	119296	111642	RP4-790G17.3	-	APH1A	PSEN1	6530402N02Rik|APH-1|APH-1A|CGI-78	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259824	5663	55851	111642	120953	-	MDS033	PSEN1	PSENEN	AD3|FAD|PS-1|PS1|S182	MSTP064|PEN-2|PEN2	Affinity Capture-Western	physical	Crystal AS (2003)	PUBMED:12639958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q9NZ42	-	NP_758844|NP_001268461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274667	5663	2670	111642	108938	-	-	PSEN1	GFAP	AD3|FAD|PS-1|PS1|S182	-	Two-hybrid	physical	Nielsen AL (2002)	PUBMED:12058025	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	P14136	A7REI1	NP_002046|NP_001124491|NP_001229305|NP_001350775	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274669	5663	2670	111642	108938	-	-	PSEN1	GFAP	AD3|FAD|PS-1|PS1|S182	-	Reconstituted Complex	physical	Nielsen AL (2002)	PUBMED:12058025	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	P14136	A7REI1	NP_002046|NP_001124491|NP_001229305|NP_001350775	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274741	12387	5663	198512	111642	-	-	Ctnnb1	PSEN1	Bfc|Catnb|Mesc	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Xia X (2002)	PUBMED:12070348	10090	9606	Low Throughput	-	-	-	-	BIOGRID	Q02248	-	NP_001159374|NP_031640	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Mus musculus	Homo sapiens
275954	5663	2317	111642	108606	-	-	PSEN1	FLNB	AD3|FAD|PS-1|PS1|S182	ABP-278|ABP-280|AOI|FH1|FLN-B|FLN1L|LRS1|SCT|TABP|TAP	Two-hybrid	physical	Zhang W (1998)	PUBMED:9437013	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	O75369	-	NP_001157791|NP_001157790|NP_001448|NP_001157789	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275956	2317	5663	108606	111642	-	-	FLNB	PSEN1	ABP-278|ABP-280|AOI|FH1|FLN-B|FLN1L|LRS1|SCT|TABP|TAP	AD3|FAD|PS-1|PS1|S182	Reconstituted Complex	physical	Zhang W (1998)	PUBMED:9437013	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75369	-	NP_001157791|NP_001157790|NP_001448|NP_001157789	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276656	5663	7087	111642	112942	-	-	PSEN1	ICAM5	AD3|FAD|PS-1|PS1|S182	TLCN|TLN	Affinity Capture-Western	physical	Annaert WG (2001)	PUBMED:11719200	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q9UMF0	Q8N6I2	NP_003250	-	-	-	-	-	-	Homo sapiens	Homo sapiens
