#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
251039	23385	51107	116961	119296	RP11-517F10.1	RP4-790G17.3	NCSTN	APH1A	ATAG1874	6530402N02Rik|APH-1|APH-1A|CGI-78	Affinity Capture-Western	physical	Haffner C (2004)	PUBMED:15257293	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251040	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Haffner C (2004)	PUBMED:15257293	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253390	5663	23385	111642	116961	-	RP11-517F10.1	PSEN1	NCSTN	AD3|FAD|PS-1|PS1|S182	ATAG1874	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253393	23385	55851	116961	120953	RP11-517F10.1	MDS033	NCSTN	PSENEN	ATAG1874	MSTP064|PEN-2|PEN2	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q9NZ42	-	NP_758844|NP_001268461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253394	23385	51107	116961	119296	RP11-517F10.1	RP4-790G17.3	NCSTN	APH1A	ATAG1874	6530402N02Rik|APH-1|APH-1A|CGI-78	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253395	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253396	55851	23385	120953	116961	MDS033	RP11-517F10.1	PSENEN	NCSTN	MSTP064|PEN-2|PEN2	ATAG1874	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NZ42	-	NP_758844|NP_001268461	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253399	51107	23385	119296	116961	RP4-790G17.3	RP11-517F10.1	APH1A	NCSTN	6530402N02Rik|APH-1|APH-1A|CGI-78	ATAG1874	Affinity Capture-Western	physical	Baulac S (2003)	PUBMED:14572442	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256206	51107	23385	119296	116961	RP4-790G17.3	RP11-517F10.1	APH1A	NCSTN	6530402N02Rik|APH-1|APH-1A|CGI-78	ATAG1874	Affinity Capture-Western	physical	LaVoie MJ (2003)	PUBMED:12857757	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282070	51107	23385	119296	116961	RP4-790G17.3	RP11-517F10.1	APH1A	NCSTN	6530402N02Rik|APH-1|APH-1A|CGI-78	ATAG1874	Co-fractionation	physical	Gu Y (2003)	PUBMED:12471034	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282074	5663	23385	111642	116961	-	RP11-517F10.1	PSEN1	NCSTN	AD3|FAD|PS-1|PS1|S182	ATAG1874	Affinity Capture-Western	physical	Gu Y (2003)	PUBMED:12471034	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49768	A0A024R6A3	NP_000012|NP_015557	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282077	51107	23385	119296	116961	RP4-790G17.3	RP11-517F10.1	APH1A	NCSTN	6530402N02Rik|APH-1|APH-1A|CGI-78	ATAG1874	Affinity Capture-Western	physical	Gu Y (2003)	PUBMED:12471034	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282078	23385	51107	116961	119296	RP11-517F10.1	RP4-790G17.3	NCSTN	APH1A	ATAG1874	6530402N02Rik|APH-1|APH-1A|CGI-78	Affinity Capture-Western	physical	Gu Y (2003)	PUBMED:12471034	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282079	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Gu Y (2003)	PUBMED:12471034	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283017	51107	23385	119296	116961	RP4-790G17.3	RP11-517F10.1	APH1A	NCSTN	6530402N02Rik|APH-1|APH-1A|CGI-78	ATAG1874	Affinity Capture-Western	physical	Lee SF (2002)	PUBMED:12297508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283018	23385	51107	116961	119296	RP11-517F10.1	RP4-790G17.3	NCSTN	APH1A	ATAG1874	6530402N02Rik|APH-1|APH-1A|CGI-78	Affinity Capture-Western	physical	Lee SF (2002)	PUBMED:12297508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q96BI3	B4DUG7	NP_001071096|NP_001230700|NP_001230701|NP_057106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283019	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Lee SF (2002)	PUBMED:12297508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283020	23385	5664	116961	111643	RP11-517F10.1	-	NCSTN	PSEN2	ATAG1874	AD3L|AD4|CMD1V|PS2|STM2	Affinity Capture-Western	physical	Lee SF (2002)	PUBMED:12297508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49810	-	NP_036618|NP_000438	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287094	23385	5663	116961	111642	RP11-517F10.1	-	NCSTN	PSEN1	ATAG1874	AD3|FAD|PS-1|PS1|S182	Affinity Capture-Western	physical	Yu G (2000)	PUBMED:10993067	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49768	A0A024R6A3	NP_000012|NP_015557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287095	23385	5664	116961	111643	RP11-517F10.1	-	NCSTN	PSEN2	ATAG1874	AD3L|AD4|CMD1V|PS2|STM2	Affinity Capture-Western	physical	Yu G (2000)	PUBMED:10993067	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49810	-	NP_036618|NP_000438	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287096	23385	351	116961	106848	RP11-517F10.1	-	NCSTN	APP	ATAG1874	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Yu G (2000)	PUBMED:10993067	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288254	55851	23385	120953	116961	MDS033	RP11-517F10.1	PSENEN	NCSTN	MSTP064|PEN-2|PEN2	ATAG1874	Affinity Capture-Western	physical	Steiner H (2002)	PUBMED:12198112	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NZ42	-	NP_758844|NP_001268461	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304190	23385	23621	116961	117154	RP11-517F10.1	-	NCSTN	BACE1	ATAG1874	ASP2|BACE|HSPC104	Reconstituted Complex	physical	Hattori C (2002)	PUBMED:12054507	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P56817	A0A024R3F9|A0A024R3D7|Q5W9H2|B7Z3Z4|B7Z3K2|A0A024R3E8|A0A024R3D5	NP_620428|NP_620429|NP_001193978|NP_036236|NP_001193977|NP_620427	-	-	-	-	-	-	Homo sapiens	Homo sapiens
664284	1994	23385	108309	116961	-	RP11-517F10.1	ELAVL1	NCSTN	ELAV1|HUR|Hua|MelG	ATAG1874	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
678502	6696	23385	112574	116961	PSEC0156	RP11-517F10.1	SPP1	NCSTN	BNSP|BSPI|ETA-1|OPN	ATAG1874	Two-hybrid	physical	Long P (2012)	PUBMED:22779921	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10451	Q3LGB0|A0A024RDE6|A0A024RDJ0|B7Z351|A0A024RDE2	NP_001238759|NP_000573|NP_001035147|NP_001035149|NP_001238758	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
729076	26270	23385	117654	116961	RP3-330O12.3	RP11-517F10.1	FBXO6	NCSTN	FBG2|FBS2|FBX6|Fbx6b	ATAG1874	Affinity Capture-MS	physical	Liu B (2012)	PUBMED:22268729	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9NRD1	-	NP_060908	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	BTO:0000007|DOID:715|BTO:0000661	HEK-293 cell|T-cell leukemia|JURKAT cell	cell line|disease|cell line	-|-|-	-|-|-	-|-|-	Homo sapiens	Homo sapiens
737378	525	23385	107008	116961	-	RP11-517F10.1	ATP6V1B1	NCSTN	ATP6B1|RTA1B|VATB|VMA2|VPP3	ATAG1874	Affinity Capture-MS	physical	Nylandsted J (2011)	PUBMED:21674799	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P15313	-	NP_001683	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746949	23385	6208	116961	112122	RP11-517F10.1	PRO2640	NCSTN	RPS14	ATAG1874	EMTB|S14	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.958	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P62263	-	NP_001020242|NP_001020241|NP_005608	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746967	23385	9967	116961	115292	RP11-517F10.1	-	NCSTN	THRAP3	ATAG1874	TRAP150	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.958	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q9Y2W1	-	NP_005110|NP_001308402|NP_001308400	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746968	23385	10111	116961	115417	RP11-517F10.1	-	NCSTN	RAD50	ATAG1874	NBSLD|RAD502|hRad50	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.958	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q92878	A5D6Y3	NP_005723	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746969	23385	9295	116961	114709	RP11-517F10.1	RP4-677H15.3	NCSTN	SRSF11	ATAG1874	NET2|SFRS11|dJ677H15.2|p54	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.958	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q05519	-	NP_001337545|NP_001337535|NP_001337534|NP_001337537|NP_001337536|NP_001337539|NP_001337538|NP_001337544|NP_004759|NP_001337540|NP_001337541|NP_001337542|NP_001337543|NP_001177916	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746991	23385	989	116961	107425	RP11-517F10.1	-	NCSTN	SEPT7	ATAG1874	CDC10|CDC3|NBLA02942|SEPT7A	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.956	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q16181	B4DNE4|A8K3D0	NP_001229885|NP_001011553|NP_001779|NP_001350644|NP_001362228	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747007	23385	4735	116961	110812	RP11-517F10.1	-	NCSTN	SEPT2	ATAG1874	DIFF6|NEDD-5|NEDD5|Pnutl3|hNedd5	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.954	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q15019	-	NP_004395|NP_001336235|NP_006146|NP_001336234|NP_001307964|NP_001008491|NP_001307960|NP_001307963|NP_001008492|NP_001269901|NP_001269902|NP_001336220|NP_001336244|NP_001307962|NP_001336240|NP_001336241|NP_001336242|NP_001336243|NP_001307961|NP_001336239|NP_001336238|NP_001336231|NP_001336233|NP_001307958|NP_001307959|NP_001336237|NP_001336236|NP_001336217|NP_001336216|NP_001336219|NP_001336218	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747013	23385	117246	116961	125581	RP11-517F10.1	SB92	NCSTN	FTSJ3	ATAG1874	EPCS3|SPB1	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.954	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q8IY81	-	NP_060117	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747014	23385	10713	116961	115939	RP11-517F10.1	CGI-21	NCSTN	USP39	ATAG1874	65K|HSPC332|SAD1|SNRNP65	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.954	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q53GS9	A0A087X1B2|B3KPG7|B7Z7L9|B3KMG1	NP_001243654|NP_001243655|NP_006581|NP_001243657|NP_001243656	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747015	23385	10813	116961	116026	RP11-517F10.1	RP4-537K23.16-001	NCSTN	UTP14A	ATAG1874	NYCO16|SDCCAG16|dJ537K23.3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.954	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q9BVJ6	-	NP_006640|NP_001159693	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747019	23385	6205	116961	112119	RP11-517F10.1	-	NCSTN	RPS11	ATAG1874	S11	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.954	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P62280	-	NP_001006	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747021	23385	58517	116961	121843	RP11-517F10.1	-	NCSTN	RBM25	ATAG1874	NET52|RED120|RNPC7|S164|Snu71|fSAP94	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.953	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P49756	-	NP_067062	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747022	23385	24148	116961	117298	RP11-517F10.1	-	NCSTN	PRPF6	ATAG1874	ANT-1|ANT1|C20orf14|Prp6|RP60|SNRNP102|TOM|U5-102K|hPrp6	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.953	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	O94906	-	NP_036601	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747040	23385	10772	116961	115990	RP11-517F10.1	RP11-4M23.6	NCSTN	SRSF10	ATAG1874	FUSIP1|FUSIP2|NSSR|PPP1R149|SFRS13|SFRS13A|SRp38|SRrp40|TASR|TASR1|TASR2	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.953	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	O75494	B3KNY6|Q5JRI1	NP_001287865|NP_001177935|NP_001177934|NP_006616|NP_001177938|NP_473357|NP_001287866|NP_001177936	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747041	23385	23212	116961	116819	RP11-517F10.1	-	NCSTN	RRS1	ATAG1874	-	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.953	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q15050	-	NP_055984	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747042	23385	29896	116961	118948	RP11-517F10.1	-	NCSTN	TRA2A	ATAG1874	AWMS1|HSU53209	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.953	-	Denoised score >= 0.75	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	Q13595	B4DQI6|Q549U1	NP_037425|NP_001349688|NP_001349689|NP_001269687|NP_001269686|NP_001349690|NP_001269688	-	-	-	-	-	-	Homo sapiens	Homo sapiens
